0,"Josh Richardson struggles vs. Bulls: He only played 22 minutes as Tyler Johnson had the hot hand off the bench. Richardson's shot isn't falling right now and this was his second dud in a row, but it's just a matter of time before he heats up."
0,"Norm Powell scores 14 points vs. Nuggets: Hey, he finally had a decent game after making just 30.0 percent from the field in his previous six games. Powell has lost minutes to Delon Wright several times this season, and it also hurts that he's played 139 of his 152 minutes next to <i>both</i> Kyle Lowry and DeMar DeRozan. It would probably help if coach Dwane Casey staggered him a bit, so Powell is a borderline player for now. If he has another good game over the weekend, he could be an add."
0,"Jeremy Lamb scores 16 points vs. Bucks: We recently learned that Nicolas Batum (elbow) expects to be cleared to practice in the next 10 days and be playing in the next 2-3 weeks, so Lambs value is eventually going to trend down. Hes still worth holding onto in the meantime and entered Wednesdays game with 8th-round value in standard 9-category leagues, but its not a bad idea to see if you can flip him for a player with a better long-term outlook."
0,"Dennis Smith Jr. scores 18 points vs. Clips: He was 4-of-5 from the line, but turnovers have really been a problem. In his last four games, he has at least four in each of those games and he only has three assists over his last two combined. Rookie point guards almost always start slow, so his fantasy owners are going to need some patience here. He's also had a litany of tough matchups, but he has some better ones coming his way over the next two weeks."
0,"Kyle Lowry scores just nine points in loss: It may be time to start worrying about Lowry. This season, he's down to 32.6 minutes per game, a 19.8 usage rate, and a 49.3 TS% in seven games. Last year, he had 37.4 minutes per game, a 24.9 usage rate, and a 62.3 TS%. If you want to look at a positive, his pace is way up, but obviously he's nowhere near the player his fantasy owners drafted with just fifth-round value this season. He's a buy-low candidate."
0,"James Harden scores 31 with 7 more TOs: This was certainly not an efficient line for Harden, but he still managed to fill the stat sheet for his owner. But the turnovers are a big issue for Harden, as he's racked up seven of them in two straight games and had an eight-turnover night on Oct. 25. He's in a dubious three-man race with DeMarcus Cousins and Russell Westbrook for the league lead, but when you draft a player like Harden or Westbrook, you just throw turnovers out the window in Game 1."
0,"Rodney Hood goes scoreless on 11 shots: Only one of his shot attempts was from beyond the arc, and he added just two rebounds, two assists, two steals and a block. Hood has never been known for his consistency or durability, but there's no injury to report and it sounds like it was just an off night. Donovan Mitchell had the hot hand with 28 points, but there's room for both players to coexist. He'll look to get back on track vs. the Raptors on Friday."
0,"Trevor Ariza bounces back on Wednesday: Since returning from his foot injury Ariza had hit just 5-of-18 shots over his last two games. Hopefully this is a sign that his foot problem is behind him and he starts scoring in double figures regularly, while racking up threes, rebounds, assists and steals."
0,"Jeff Green scores 15 points: He's probably going to be looking at more minutes with Tristan Thompson out, and really something has to change with this rotation. Green still hasn't been a great per-minute guy in standard leagues, so there's no reason to add him unless he starts heating up."
0,"Marco Belinelli (Achilles) scores 8 points: The Hawks have kept him on the injury report all week, so maybe he gets a rest day soon. Atlanta likes Belinelli because he gives them another ball-handler next to Dennis Schroder, but his minutes will trend in the wrong direction when DeAndre Bembry (wrist) comes back. He had a hot start to the season, but he's scored a combined 17 points in his last two."
0,"Jusuf Nurkic posts 19 and 11 w/ 3 blocks: His owners have been waiting patiently for the big lines and it comes in the most unlikely spot, as Rudy Gobert and the Jazz have allowed the fewest fantasy points to opposing centers this season. Nurk Alert hit 9-of-18 shots with a couple turnovers, but he only managed to hit 1-of-4 free throws. He has another great chance for a big performance on Thursday vs. the Lakers."
0,"Thabo Sefolosha scores 15 points: He picked up a few minutes with Joe Johnson (wrist) out and it helped that Rodney Hood was nowhere to be found with zero points on 11 shots. Sefolosha usually isn't this involved on offense, and even though Johnson is out for a couple weeks, Sefolosha is more of a desperation add in deep leagues if you need defensive stats."
0,"Jonathan Isaac blocks three shots: He did benefit in the playing time department because the wings had to move to point guard for nine minutes in the second half. Coach Frank Vogel has said he likes Isaac at both forward spots and he did 11 minutes in the second half, so he may be closer to 24 while the Magic are so shorthanded at guard. He's a decent add in 14-team leagues thanks to Orlando's productive offense adding so much value to so many guys. Yes, we know that sentence sounds weird."
