!,Elfrid Payton (right ankle) ruled out vs. GSW:
-,"Justin Jackson getting the start Tuesday: De'Aaron Fox, Buddy Hield, Nemanja Bjelica and Willie Cauley-Stein are also starting. Jackson is getting the nod with Iman Shumpert resting, but he has limited upside and is just a desperation play in deep leagues."
0,"Kelly Oubre (illness) active for Tuesday: If he's feeling up to it, the Wizards could rely on Oubre a ton in small-ball lineups because they are missing Dwight Howard (back) and Markieff Morris (concussion). The illness adds an element of risk, though."
-,"Kevin Love to be re-evaluated in a few weeks: Love said he initially injured his toe during a preseason game against the Celtics, and with the Cavs opening the year up 0-6, there wasn't much incentive for him to keep pushing through the pain. The toe issue was so painful that it was uncomfortable for him to put any pressure on it, and he did undergo an MRI. He remains without an official timetable, but Adrian Wojnarowski reported on Monday that he could be out for more than a month. Owners should hold on until we get a more definitive timetable, but it's concerning that he has met with renowned foot surgeon Dr. Martin O'Malley. Larry Nance figures to be one of the primary beneficiaries while he's out."
-,"Marquese Chriss (left ankle) is available: Coach Mike D'Antoni noted that Chriss is ready physically, but said he also looked rusty at practice. For that reason,  Isaiah Hartenstein will probably remain ahead of Chriss for now."
-,"Nerlens Noel (ankle) is available Tuesday: Steven Adams (calf) is available too, and unless he has restrictions, Noel is likely looking at minutes in the teens. Noel has been terrific this season, but a healthy Adams severely caps his upside."
+,"Steven Adams, Noel available to play Tuesday: Adams missed Sunday's game vs. the Suns with a minor calf issue, but he should be back in the starting lineup tonight with his usual minutes, which really hurts Noel. Feel free to get Adams active for a favorable matchup in Los Angeles."
-,"No timetable for James Johnson, Dion Waiters: Both these guys have yet to make their regular-season debuts, and based on this quote from Spoelstra, it doesn't seem like either one is close. Kelly Olynyk and Justise Winslow will continue to man the four-spot while Johnson is out, and Rodney McGruder has been one of the biggest beneficiaries with both Waiters and Johnson on the sidelines. At this point, Johnson belongs on the waiver wire in most leagues."
-,"Nurse says shorter stints for JV and Ibaka: Nurse said he doesn't have a preference on who will matchup with Joel Embiid, so Nurse will likely be going with whoever has the hot hand tonight. The timeshare situation at the five-spot in Toronto has been annoying for JV owners, and it's somewhat disheartening that he won't be drawing the start tonight against a more traditional center in Embiid."
-,"Suns decline Dragan Bender's option: The option was for $5.9 million, so it would have been a major upset if the Suns actually picked it up. Bender has shown little to no progress in terms of development and will be labeled a bust until he proves otherwise. Bender has played a total of 11 minutes this season."
0,"De'Aaron Fox (back) available to play Tuesday: Fox didn't seem too limited while going through his pregame routine, so it looks like he'll be fighting through the pain tonight. Just a note, available to play doesn't always mean 'will play,' and with this being the second leg of a back-to-back set, it wouldn't be surprising to see Fox minutes limited tonight. He's safe to fire up in season-long settings, but is a risky play in DFS."
-,"Kawhi Leonard starting, Powell to the bench: The Raptors are bringing Kawhi along slowly since he barely played last season, so his fantasy owners should be aware of upcoming back-to-backs. Toronto's next one is right around the corner on Nov. 4 vs. the Lakers and Nov. 5 vs. the Jazz, but it's not a lock that he misses one of those."
!,"Fred VanVleet (toe) out Tuesday vs. 76ers: This will be the fourth game in a row that FVV will be watching from the sidelines, which will translate to more minutes for Delon Wright and Lorenzo Brown. The Raptors take on the Suns on Friday, and for now, we'll be considering VanVleet questionable for that one."
-,"Aron Baynes (hamstring) will play on Tuesday: Baynes will be returning to the lineup following a three-game absence, and he won't have any minutes restrictions for tonight's game. He could flirt with close to 20 minutes going up against Detroit's more traditional frontcourt, which could somewhat cut into Marcus Morris' minutes. Baynes is not a great target in fantasy hoops, though."
-,"De'Aaron Fox (back) a game-time decision: Fox tweaked his back on a layup late in Monday's win, and with this being the second game of a back-to-back set, there's a real possibility that he won't be taking the floor tonight. The Kings are notorious for being late with the injury updates, so Fox will be an extremely risky play in DFS. If he's out, Yogi Ferrell and Frank Mason will see an uptick in minutes."
-,"Jevon Carter recalled from the G-League: He might play if the game turns into a blowout, but he won't be on the floor in any meaningful way tonight."
!,"Anthony Davis (elbow) questionable Wednesday: Head coach Alvin Gentry said he'll be making a decision on Davis following Wednesday morning's shootaround, so owners can expect to get another update tomorrow afternoon. AD could be headed for a game-time call, but if he's out again, it'll either be Jahlil Okafor or Julius Randle getting the start, with more shots falling to Nikola Mirotic, Jrue Holiday and E'Twaun Moore. Stay tuned."
+,"Thibs wants Rose to play 26-28 mins a night: Rose has actually been surprisingly effective for the Wolves this season, posting averages of 14.8 points, 4.3 assists and just 1.0 turnover per game on 41.3% shooting from the field and 81.8% from the stripe in 28.3 minutes a night, which has been good enough for late-round value in 9-cat leagues. He won't be the difference maker on a championship team in fantasy hoops, but he's doing enough to warrant ownership in deep leagues."
