0,"Williams has six assists in 25 minutes since being activated, and did not committ a turnover in 12 minutes of action against Sacramento. He's more poised and controlled than when the season started. Charlie Ward returns from the IL Sunday, though, so even if Williams can avoid heading back to the IL (Lavor Postell is the better choice), his playing time isn't going to improve.",54.7
-,"Trenton Hassell received another start in place of Robinson, who is day-to-day.",55.6
-,"According to a police report, Strickland refused to provide information about the accident when questioned by police. The report did not state who was driving his car at the time.",67.9
0,"Thomas' eye has been swollen shut for two days. He's day-to-day.",51.1
0,"For now, it appears that coach Nate McMillan prefers both Jerome James and Vitaly Potapenko to Campbell.  Throw in starting center Predrag Drobnjak and that makes Campbell a fourth-stringer.",73.8
0,"Adonal Foyle has been outplaying Dampier for a few games now and might be close to taking over the starting job.  Bench Dampier if you haven't done so already.",81.6
-,"Murphy shot just 1-for-8, but it doesn't look like there is any reason to be worried about him.",91.3
0,"Jamison has been struggling lately, averaging 17 points over his last six games, well below his season average of 22.  That includes tonight's nine point effort as well as games where he was held to six and zero points.",79.0
0,"",74.5
0,"He was previously listed as day-to-day.",80.8
-,"He was 0-for-3 with two points and one board, so his ankle is probably still bothering him.",58.6
-,"He also hit one of his five treys at the end of regulation to send it to overtime, and hit 11-of-20 shots tonight. He remains hot as he scored 29 in his previous game.",48.4
0,"A huge crowd was on hand for Asian-American Night, but Ming only took two shots in his first trip to the city of Boston. It seems like he is having more quiet nights lately, and he may not be able to stay on the pace he set in the first half of the year. However, he should be fine over the long haul, with the occasional off night.",58.9
0,"Person has been improving steadily since returning on February 13, and should be an effective three-point and scoring threat as long as he stays healthy.  He shot well tonight, hitting 9-of-17 overall and 6-of-10 from behind the arc.",68.9
-,"He had averaged 17 points in his first two games after being traded from the Magic and should be considered day-to-day.",72.6
0,"Marbury had been in the zone for a long time and was due to have an off night.  Don't expect to see another game like this from him anytime soon.  Despite the scoring and shooting woes, he still picked up nine assists.",92.2
0,"Jalen did not shoot well from the floor, not making his first shot until the second half.  While he was just 4-of-16 from the field, he hit 11-of-12 free throws.  The 14 boards were a season high and the 11 assists were his second highest total this year.  Jalen has really developed into a fantasy stud, consistently producing in several categories.",48.7
0,"He was in foul trouble from the outset, but looked good when he was on the floor, going 6-of-10.  It looks like he may be the permanent starter at power forward for the Bulls now, so it may be time to pick him up.  It appears the Bulls are going to see what their young guys can do the rest of the way and it didn't hurt that they beat the Suns tonight.",52.7
0,"Despite coming off the bench and having a bad back, Marshall made the most of his time on the floor by collecting two blocks, two steals and two assists as well.  He also played twice as many minutes as starter Eddy Curry, due to Curry's foul trouble.  Marshall wore his hair in a huge, vintage Dr. J style afro, but said after the game that it was the last time we'd see it.  He just did it to ''get out of a funk.''  Apparently it worked.",82.5
-,"If you were wondering if Sam Cassell and The Glove could function together, you have your answer.  Cassell finished with 18 points and seven assists as the two now make up the starting backcourt tandem for the Bucks.",61.5
0,"Rasho has quietly become a legitimate fantasy center, averaging 17 points and 11 boards a game over his past three.  His block numbers have been very solid as well, although he only had one tonight.",56.3
-,"Wally has been hot lately, averaging 21.5 points a game over his last nine.  He shot 6-of-12 from the floor tonight and hit all 12 of his free throw attempts.",77.0
0,"KG collected his league-leading 47th double-double and shot 11-of-19 from the floor.  If Kobe and T-Mac were not going crazy, Garnett would be the talk of the league.",70.7
0,"This makes two straight games Baker has sat out since the Celtics acquired Mark Blount and Mark Bryant. Baker wasn't on stable ground before the trade deadline, and with two more big men to compete with and the strong play of Tony Battie, his playing time might be gone.",81.3
-,"While he shot just 7-of-20 from the floor, it looks like he is almost fully recovered from his knee injury.",88.2
0,"He only grabbed a steal and three boards, but he appears to be the second-string backup to Battie as Vin Baker did not play for his second consecutive game.",63.5
-,"Bremer has been struggling the last couple weeks, shooting a measley 33% from the floor and averaging just 8.5 points a game over his last seven.  Luckily for Bremer, Tony Delk hasn't been much better.",67.6
+,"Francis missed his last game with a sore back.  He also added nine rebounds, nine assists and hit two clutch freebies and a break-away dunk in the final 20 seconds to seal the win for the Rockets at the end of overtime.",53.0
0,"Medical experts said Monday it's unlikely MacCulloch will be able to continue playing with the genetic disorder.  ``It's a progressive disease, and at this time there is no treatment,'' said Dr. Carlos Garcia, a professor of clinical neurology at Tulane. ``Sometimes surgery can help, but I don't believe you can play basketball once you have these types of problems in your feet and your hands.'' MacCulloch likely will remain on Philadelphia's injured list for the rest of the season.",78.0
-,"He said his elbow started bothering him during Saturday's game against San Antonio and he missed the second half. ''I don't know what happened,'' Artest said Monday. ''It's not bending. I can't shoot.''  Artest might have bone chips causing a problem in the elbow, and if that's the case, he'll probably need surgery.",51.9
-,"Butler will miss Tuesday's game at San Antonio and likely will sit out Wednesday's game at New Orleans.  Rasual Butler will continue to help fill in for him.",58.6
-,"Robinson will have to head back to court on March 24.",54.9
0,"''He's injured. It's obvious,'' the coach said. ''He's not getting the lift and doesn't have the quickness he's had.'' Houston won't be coming out of the lineup, but he has taken 12 and 16 shots the past two games, low numbers for him. And since it's well-documunted that he doesn't offer much to fantasy teams outside of scoring, it may be beneficial to go another route for now.",73.6
0,"Mark Madsen's play in relief of Walker has been solid, which should ease the decision to be without Samaki for a few more games.",60.1
-,"''I can't wait until this team is my team, so I can stop some of the stuff that goes on,'' Chandler said. Chandler is finally starting to look and feel like the real deal, and someone the Bulls can build around.",87.7
0,"That look could be extended depending upon how much time Caron Butler misses with his illness. Lampley is an unproven but promising physical presence fresh off the IL. Riley likes him, and wants to see what he has.",77.0
0,"Butler was admitted to the hospital on Saturday to replace fluids. No word was available on his condition. Butler doesn't get as much ink as fellow rookies Yao Ming and Amare Stoudemire, but he's a close third to those players in the Rookie of the Year race, if not better. Butler is among the top 10 rookies in points per game (1st), rebounds per game (7th), assists per game (5th), and steals per game (2nd), something neither Yao nor Amare can claim.",77.0
0,"He will wear a sleeve over his right knee, but is happy to be done with the cumbersome brace. While wearing the brace during February, Walker was below his season averages in both points and rebounds.",67.9
-,"Barry will continue to start at point guard, with Kevin Ollie backing up.",65.4
-,"Arenas and the Warriors play in Denver tonight. A large cheering section is expected.",66.0
0,"Outside of a 23-point game against Memphis, Artest has combined to hit 17-of-67 shots (25 percent) in the other six games and has not been the defensive force he was earlier in the season. Then on Saturday, Artest changed into his street clothes at halftime after going scoreless and reboundless in the first half. He was unavailable for comment afterward, but was said to have a sore right elbow. Consider him day-to-day, but avoid using him until he gets things together.",55.4
-,"Even so, Eddy Curry may get the start and the bulk of the playing time over Marshall.",62.5
-,"Juan Dixon, who scored 16 Sunday, will be counted on to replace Hughes' production.",51.5
-,"They're both playoff-contending teams and would be good situations. Both situations are very appealing to me",69.4
0,"It didn't take long for Allen to get comfortable with his new team.  He also had four threes and three steals in the game.",85.1
0,"Campbell played just 10 minutes in the game.  He won't be an option in fantasy leagues unless he gets into the 25-30 range.",61.4
-,"He had missed 10 games with the injury.  With Webber back, Keon Clark had only one point and three rebounds in 28 minutes.",62.3
0,"Glover has kept the starting job at shooting guard even though Ira Newble is back healthy, but he might not hold on to it for much longer.  Glover, who is in the lineup for offense, has averaged four points and shot 6-for-28 over the last four games.",36.9
-,"Mohammed felt discomfort during last night's game.  He will be examined on Monday to determine whether his right foot is broken again.",76.3
0,"",74.5
